区分,店舗名,認証のメニュー名,認証メニュー数,店舗数,認証のメニューのPRポイント,住所,電話番号,営業時間,休業日,備考,緯度,経度
惣菜店,グルメ館福井南店,７種のいろどり健幸サラダ、うす味仕立ての金平ごぼう、薄衣肉厚トンカツ、ヘルシーササミカツ、ヘルシーチキンカツ,,,ブロッコリー、いんげん、大豆、レンコン、金時豆等、７種の野菜が一度に摂れる贅沢な一品です。噛み砕きやすく、斜めにカットしたごぼうを少し柔らかく、また塩分控えめに炊きあげました。豚ロースの芯だけを贅沢に厚切りして衣薄くパン粉付けしました。衣が少なくやわらかいヘルシー国産ササミカツ！！頃もが薄くてヘルシー国産チキンカツ！！,福井市羽水2丁目802番地,0778-54-8280,24時間営業,,,36.040462,136.23102
惣菜店,グルメ館江守店,７種のいろどり健幸サラダ、うす味仕立ての金平ごぼう、薄衣肉厚トンカツ、ヘルシーササミカツ、ヘルシーチキンカツ,,,ブロッコリー、いんげん、大豆、レンコン、金時豆等、７種の野菜が一度に摂れる贅沢な一品です。噛み砕きやすく、斜めにカットしたごぼうを少し柔らかく、また塩分控えめに炊きあげました。豚ロースの芯だけを贅沢に厚切りして衣薄くパン粉付けしました。衣が少なくやわらかいヘルシー国産ササミカツ！！頃もが薄くてヘルシー国産チキンカツ！！,福井市舞屋町7-109,0778-24-2821,24時間営業,,,36.034298,136.202035
惣菜店,グルメ館鯖江店,７種のいろどり健幸サラダ、うす味仕立ての金平ごぼう、薄衣肉厚トンカツ、ヘルシーササミカツ、ヘルシーチキンカツ,,,ブロッコリー、いんげん、大豆、レンコン、金時豆等、７種の野菜が一度に摂れる贅沢な一品です。噛み砕きやすく、斜めにカットしたごぼうを少し柔らかく、また塩分控えめに炊きあげました。豚ロースの芯だけを贅沢に厚切りして衣薄くパン粉付けしました。衣が少なくやわらかいヘルシー国産ササミカツ！！頃もが薄くてヘルシー国産チキンカツ！！,鯖江市有定町3丁目1番1号,0776-25-8420,9:30～22:00,,,35.948435,136.178492
惣菜店,グルメ館東鯖江店,７種のいろどり健幸サラダ、うす味仕立ての金平ごぼう、薄衣肉厚トンカツ、ヘルシーササミカツ、ヘルシーチキンカツ,,,ブロッコリー、いんげん、大豆、レンコン、金時豆等、７種の野菜が一度に摂れる贅沢な一品です。噛み砕きやすく、斜めにカットしたごぼうを少し柔らかく、また塩分控えめに炊きあげました。豚ロースの芯だけを贅沢に厚切りして衣薄くパン粉付けしました。衣が少なくやわらかいヘルシー国産ササミカツ！！頃もが薄くてヘルシー国産チキンカツ！！,鯖江市新横江1丁目1-27,0778-52-6211,24時間営業,,,,
惣菜店,グルメ館武生南店,７種のいろどり健幸サラダ、うす味仕立ての金平ごぼう、薄衣肉厚トンカツ、ヘルシーササミカツ、ヘルシーチキンカツ,,,ブロッコリー、いんげん、大豆、レンコン、金時豆等、７種の野菜が一度に摂れる贅沢な一品です。噛み砕きやすく、斜めにカットしたごぼうを少し柔らかく、また塩分控えめに炊きあげました。豚ロースの芯だけを贅沢に厚切りして衣薄くパン粉付けしました。衣が少なくやわらかいヘルシー国産ササミカツ！！頃もが薄くてヘルシー国産チキンカツ！！,越前市妙法寺町,0778-21-2671,24時間営業,,,35.885823,136.160367
惣菜店,グルメ館武生店,７種のいろどり健幸サラダ、うす味仕立ての金平ごぼう、薄衣肉厚トンカツ、ヘルシーササミカツ、ヘルシーチキンカツ,,,ブロッコリー、いんげん、大豆、レンコン、金時豆等、７種の野菜が一度に摂れる贅沢な一品です。噛み砕きやすく、斜めにカットしたごぼうを少し柔らかく、また塩分控えめに炊きあげました。豚ロースの芯だけを贅沢に厚切りして衣薄くパン粉付けしました。衣が少なくやわらかいヘルシー国産ササミカツ！！頃もが薄くてヘルシー国産チキンカツ！！,越前市横市町28-14-1,0778-21-2671,9:30～22:00,,,35.907124,136.19293
惣菜店,グルメ館敦賀店,７種のいろどり健幸サラダ、うす味仕立ての金平ごぼう、薄衣肉厚トンカツ、ヘルシーササミカツ、ヘルシーチキンカツ,,,ブロッコリー、いんげん、大豆、レンコン、金時豆等、７種の野菜が一度に摂れる贅沢な一品です。噛み砕きやすく、斜めにカットしたごぼうを少し柔らかく、また塩分控えめに炊きあげました。豚ロースの芯だけを贅沢に厚切りして衣薄くパン粉付けしました。衣が少なくやわらかいヘルシー国産ササミカツ！！頃もが薄くてヘルシー国産チキンカツ！！,敦賀市櫛林8-4-1,0770-20-1611,7:00～22:00,,,35.626002,136.048075
惣菜店,福井県民生活協同組合,北海道まるごと牛肉コロッケ、旨味鶏チキンカツ、手作り柔らか豚ロースとんかつ、国産鶏の柔らかささみカツ、田舎煮、里芋煮、筑前煮、切干大根煮、きんぴら、牛肉じゃが,10,9,ジャガイモ、玉ねぎ、牛肉、小麦、パン粉は北海道産の材料を使いました。少しスパイシーな味付けです。県民生協産直肉の旨味鶏むね肉を使用した、ヘルシーなチキンカツです。柔らかいロースとんかつです。パン粉にもこだわり、サクサクとして食感が美味しい商品です。国産ささ身肉を熟成させ、食感も柔らかなささみカツです。大根、人参、がんも、しいたけが入った煮物です。里芋を薄味に仕上げました。６種類の具材を入れた筑前煮です。切干大根を薄味に仕上げました。ごぼうを薄味金平に仕上げました。おなじみの肉じゃがを薄味に仕上げました。,福井市開発5丁目1603番地,0776-52-0082,,,,36.086137,136.249354
惣菜店,ハーツ羽水店,北海道まるごと牛肉コロッケ、旨味鶏チキンカツ、手作り柔らか豚ロースとんかつ、国産鶏の柔らかささみカツ、田舎煮、里芋煮、筑前煮、切干大根煮、きんぴら、牛肉じゃが,,,ジャガイモ、玉ねぎ、牛肉、小麦、パン粉は北海道産の材料を使いました。少しスパイシーな味付けです。県民生協産直肉の旨味鶏むね肉を使用した、ヘルシーなチキンカツです。柔らかいロースとんかつです。パン粉にもこだわり、サクサクとして食感が美味しい商品です。国産ささ身肉を熟成させ、食感も柔らかなささみカツです。大根、人参、がんも、しいたけが入った煮物です。里芋を薄味に仕上げました。６種類の具材を入れた筑前煮です。切干大根を薄味に仕上げました。ごぼうを薄味金平に仕上げました。おなじみの肉じゃがを薄味に仕上げました。,福井市木田3丁目2802番地,0776-22-0082,9:30～21:30,1月1日のみ,,36.042456,136.226503
惣菜店,ハーツ学園店,北海道まるごと牛肉コロッケ、旨味鶏チキンカツ、手作り柔らか豚ロースとんかつ、国産鶏の柔らかささみカツ、田舎煮、里芋煮、筑前煮、切干大根煮、きんぴら、牛肉じゃが,,,ジャガイモ、玉ねぎ、牛肉、小麦、パン粉は北海道産の材料を使いました。少しスパイシーな味付けです。県民生協産直肉の旨味鶏むね肉を使用した、ヘルシーなチキンカツです。柔らかいロースとんかつです。パン粉にもこだわり、サクサクとして食感が美味しい商品です。国産ささ身肉を熟成させ、食感も柔らかなささみカツです。大根、人参、がんも、しいたけが入った煮物です。里芋を薄味に仕上げました。６種類の具材を入れた筑前煮です。切干大根を薄味に仕上げました。ごぼうを薄味金平に仕上げました。おなじみの肉じゃがを薄味に仕上げました。,福井市学園2丁目9番22号,0776-52-2282,9:30～22:00,,,36.069755,136.197691
惣菜店,ハーツ志比口店,北海道まるごと牛肉コロッケ、旨味鶏チキンカツ、手作り柔らか豚ロースとんかつ、国産鶏の柔らかささみカツ、田舎煮、里芋煮、筑前煮、切干大根煮、きんぴら、牛肉じゃが,,,ジャガイモ、玉ねぎ、牛肉、小麦、パン粉は北海道産の材料を使いました。少しスパイシーな味付けです。県民生協産直肉の旨味鶏むね肉を使用した、ヘルシーなチキンカツです。柔らかいロースとんかつです。パン粉にもこだわり、サクサクとして食感が美味しい商品です。国産ささ身肉を熟成させ、食感も柔らかなささみカツです。大根、人参、がんも、しいたけが入った煮物です。里芋を薄味に仕上げました。６種類の具材を入れた筑前煮です。切干大根を薄味に仕上げました。ごぼうを薄味金平に仕上げました。おなじみの肉じゃがを薄味に仕上げました。,福井市志比口2丁目11番13号,0776-51-5482,9:30～22:00,,,36.07122,136.237023
惣菜店,ハーツはるえ店,北海道まるごと牛肉コロッケ、旨味鶏チキンカツ、手作り柔らか豚ロースとんかつ、国産鶏の柔らかささみカツ、田舎煮、里芋煮、筑前煮、切干大根煮、きんぴら、牛肉じゃが,,,ジャガイモ、玉ねぎ、牛肉、小麦、パン粉は北海道産の材料を使いました。少しスパイシーな味付けです。県民生協産直肉の旨味鶏むね肉を使用した、ヘルシーなチキンカツです。柔らかいロースとんかつです。パン粉にもこだわり、サクサクとして食感が美味しい商品です。国産ささ身肉を熟成させ、食感も柔らかなささみカツです。大根、人参、がんも、しいたけが入った煮物です。里芋を薄味に仕上げました。６種類の具材を入れた筑前煮です。切干大根を薄味に仕上げました。ごぼうを薄味金平に仕上げました。おなじみの肉じゃがを薄味に仕上げました。,坂井市春江町随応寺25字1番,0776-34-8822,9:00～21:00,,,36.134568,136.223132
惣菜店,ハーツさばえ店,北海道まるごと牛肉コロッケ、旨味鶏チキンカツ、手作り柔らか豚ロースとんかつ、国産鶏の柔らかささみカツ、田舎煮、里芋煮、筑前煮、切干大根煮、きんぴら、牛肉じゃが,,,ジャガイモ、玉ねぎ、牛肉、小麦、パン粉は北海道産の材料を使いました。少しスパイシーな味付けです。県民生協産直肉の旨味鶏むね肉を使用した、ヘルシーなチキンカツです。柔らかいロースとんかつです。パン粉にもこだわり、サクサクとして食感が美味しい商品です。国産ささ身肉を熟成させ、食感も柔らかなささみカツです。大根、人参、がんも、しいたけが入った煮物です。里芋を薄味に仕上げました。６種類の具材を入れた筑前煮です。切干大根を薄味に仕上げました。ごぼうを薄味金平に仕上げました。おなじみの肉じゃがを薄味に仕上げました。,鯖江市小黒町2丁目901番地,0778-53-1182,9:30～22:00,,,35.951381,136.175053
惣菜店,ハーツたけふ店,北海道まるごと牛肉コロッケ、旨味鶏チキンカツ、手作り柔らか豚ロースとんかつ、国産鶏の柔らかささみカツ、田舎煮、里芋煮、筑前煮、切干大根煮、きんぴら、牛肉じゃが,,,ジャガイモ、玉ねぎ、牛肉、小麦、パン粉は北海道産の材料を使いました。少しスパイシーな味付けです。県民生協産直肉の旨味鶏むね肉を使用した、ヘルシーなチキンカツです。柔らかいロースとんかつです。パン粉にもこだわり、サクサクとして食感が美味しい商品です。国産ささ身肉を熟成させ、食感も柔らかなささみカツです。大根、人参、がんも、しいたけが入った煮物です。里芋を薄味に仕上げました。６種類の具材を入れた筑前煮です。切干大根を薄味に仕上げました。ごぼうを薄味金平に仕上げました。おなじみの肉じゃがを薄味に仕上げました。,越前市芝原4丁目6番21号,0778-21-3982,9:30～22:00,,,35.919557,136.157856
惣菜店,ハーツつるが店,北海道まるごと牛肉コロッケ、旨味鶏チキンカツ、手作り柔らか豚ロースとんかつ、国産鶏の柔らかささみカツ、田舎煮、里芋煮、筑前煮、切干大根煮、きんぴら、牛肉じゃが,,,ジャガイモ、玉ねぎ、牛肉、小麦、パン粉は北海道産の材料を使いました。少しスパイシーな味付けです。県民生協産直肉の旨味鶏むね肉を使用した、ヘルシーなチキンカツです。柔らかいロースとんかつです。パン粉にもこだわり、サクサクとして食感が美味しい商品です。国産ささ身肉を熟成させ、食感も柔らかなささみカツです。大根、人参、がんも、しいたけが入った煮物です。里芋を薄味に仕上げました。６種類の具材を入れた筑前煮です。切干大根を薄味に仕上げました。ごぼうを薄味金平に仕上げました。おなじみの肉じゃがを薄味に仕上げました。,敦賀市若葉町1丁目1610,0770-20-0082,9:00～22:00,,,35.634376,136.048314
惣菜店,ハーツ三方五湖店,北海道まるごと牛肉コロッケ、旨味鶏チキンカツ、手作り柔らか豚ロースとんかつ、国産鶏の柔らかささみカツ、田舎煮、里芋煮、筑前煮、切干大根煮、きんぴら、牛肉じゃが,,,ジャガイモ、玉ねぎ、牛肉、小麦、パン粉は北海道産の材料を使いました。少しスパイシーな味付けです。県民生協産直肉の旨味鶏むね肉を使用した、ヘルシーなチキンカツです。柔らかいロースとんかつです。パン粉にもこだわり、サクサクとして食感が美味しい商品です。国産ささ身肉を熟成させ、食感も柔らかなささみカツです。大根、人参、がんも、しいたけが入った煮物です。里芋を薄味に仕上げました。６種類の具材を入れた筑前煮です。切干大根を薄味に仕上げました。ごぼうを薄味金平に仕上げました。おなじみの肉じゃがを薄味に仕上げました。,三方上中郡若狭町鳥浜49-68,0770-45-3820,9:30～19:30,,,35.551632,135.906746
惣菜店,ハーツわかさ店,北海道まるごと牛肉コロッケ、旨味鶏チキンカツ、手作り柔らか豚ロースとんかつ、国産鶏の柔らかささみカツ、田舎煮、里芋煮、筑前煮、切干大根煮、きんぴら、牛肉じゃが,,,ジャガイモ、玉ねぎ、牛肉、小麦、パン粉は北海道産の材料を使いました。少しスパイシーな味付けです。県民生協産直肉の旨味鶏むね肉を使用した、ヘルシーなチキンカツです。柔らかいロースとんかつです。パン粉にもこだわり、サクサクとして食感が美味しい商品です。国産ささ身肉を熟成させ、食感も柔らかなささみカツです。大根、人参、がんも、しいたけが入った煮物です。里芋を薄味に仕上げました。６種類の具材を入れた筑前煮です。切干大根を薄味に仕上げました。ごぼうを薄味金平に仕上げました。おなじみの肉じゃがを薄味に仕上げました。,小浜市遠敷9丁目501番地,0770-56-0382,9:00～22:00,,,35.484137,135.773806
惣菜店,カントリーママ,けんちん風煮物、車麩の巣ごもり、カジキのチーズパン粉揚げ、里芋のじゃこコロッケ、切干大根ときのこの煮物、高野豆腐の吹き寄せ煮,6,4,煮物は、一つ一つの素材の味が合わさり、うまみを出すことで余分な調味料を減らし塩分を抑えています。,福井市北四ツ居1-9-24,0776-53-5112,,,,36.063509,136.244928
惣菜店,カントリーママ四ツ居店,けんちん風煮物、車麩の巣ごもり、カジキのチーズパン粉揚げ、里芋のじゃこコロッケ、切干大根ときのこの煮物、高野豆腐の吹き寄せ煮,,,煮物は、一つ一つの素材の味が合わさり、うまみを出すことで余分な調味料を減らし塩分を抑えています。,福井市北四ツ居,0776-50-6600,平日10:30～19:45、日祝10:30～19:00,年中無休（正月3が日を除く）,,,
惣菜店,カントリーママ種池店,けんちん風煮物、車麩の巣ごもり、カジキのチーズパン粉揚げ、里芋のじゃこコロッケ、切干大根ときのこの煮物、高野豆腐の吹き寄せ煮,,,煮物は、一つ一つの素材の味が合わさり、うまみを出すことで余分な調味料を減らし塩分を抑えています。,福井市種池,0776-50-6611,,,,,
惣菜店,カントリーママ松本店,けんちん風煮物、車麩の巣ごもり、カジキのチーズパン粉揚げ、里芋のじゃこコロッケ、切干大根ときのこの煮物、高野豆腐の吹き寄せ煮,,,煮物は、一つ一つの素材の味が合わさり、うまみを出すことで余分な調味料を減らし塩分を抑えています。,福井市松本,0776-50-6622,,,,,
惣菜店,カントリーママパリオ店,けんちん風煮物、車麩の巣ごもり、カジキのチーズパン粉揚げ、里芋のじゃこコロッケ、切干大根ときのこの煮物、高野豆腐の吹き寄せ煮,,,煮物は、一つ一つの素材の味が合わさり、うまみを出すことで余分な調味料を減らし塩分を抑えています。,福井市松城町,0776-50-6633,,,,,
惣菜店,肉のつるや,福井名物厚揚げの肉詰め,1,4,福井名物の厚揚げの中に当店自慢のミンチを詰め、じっくり煮込んだ逸品です。,坂井市丸岡町谷町2丁目17-1,0776-66-0414,,,,36.148656,136.269871
惣菜店,肉のつるやピアゴ丸岡店,福井名物厚揚げの肉詰め,,,福井名物の厚揚げの中に当店自慢のミンチを詰め、じっくり煮込んだ逸品です。,坂井市丸岡町一本田2-11-3,0776-67-1298,9:00～21:00,不定休,,36.152195,136.263458
惣菜店,肉のつるやアピタ福井大和田店,福井名物厚揚げの肉詰め,,,福井名物の厚揚げの中に当店自慢のミンチを詰め、じっくり煮込んだ逸品です。,福井市大和田2丁目1230番地,0776-57-2129,9:30～21:30,不定休,,36.096606,136.2508
惣菜店,肉のつるや彩り亭アピタ福井店,福井名物厚揚げの肉詰め,,,福井名物の厚揚げの中に当店自慢のミンチを詰め、じっくり煮込んだ逸品です。,福井市飯塚町第11号111番地,0776-33-6626,9:00～21:00,不定休,,36.066305,136.183178
惣菜店,肉のつるや彩り亭アピタ敦賀店,福井名物厚揚げの肉詰め,,,福井名物の厚揚げの中に当店自慢のミンチを詰め、じっくり煮込んだ逸品です。,福井県敦賀市中央町1Ｔ目5－5,0770-24-6166,9:30～20:30,不定休,,35.643564,136.059121
惣菜店,産直市場ピアファーム,ひじき煮、がんもと煮玉子、いも天、なし入酢豚,4,3,福井の伝統的な打豆を使った煮物です。福井の味をお楽しみください。地元のがんもと当店特製のタレで作った煮玉子を一緒につめました。自慢の一品です。当店ピアファーム栽培のさつまいもで薄衣に仕上げました。材料にも製造にも愛情がこもってます。当店ピアファーム栽培の梨を入れたさっぱり味の酢豚です。この組み合わせ、お試しください。,坂井市三国町北本町2-2-25 ,0776-82-8755,,,,36.216526,136.148679
惣菜店,産直市場ピアファーム,ひじき煮、がんもと煮玉子、いも天、なし入酢豚,,,福井の伝統的な打豆を使った煮物です。福井の味をお楽しみください。地元のがんもと当店特製のタレで作った煮玉子を一緒につめました。自慢の一品です。当店ピアファーム栽培のさつまいもで薄衣に仕上げました。材料にも製造にも愛情がこもってます。当店ピアファーム栽培の梨を入れたさっぱり味の酢豚です。この組み合わせ、お試しください。,坂井市三国町北本町2-2-25,0776-82-8755 ,8:00～19:00,年中無休,,36.216526,136.148679
惣菜店,ピアファームあわら店,ひじき煮、がんもと煮玉子、いも天、なし入酢豚,,,福井の伝統的な打豆を使った煮物です。福井の味をお楽しみください。地元のがんもと当店特製のタレで作った煮玉子を一緒につめました。自慢の一品です。当店ピアファーム栽培のさつまいもで薄衣に仕上げました。材料にも製造にも愛情がこもってます。当店ピアファーム栽培の梨を入れたさっぱり味の酢豚です。この組み合わせ、お試しください。,あわら市二面45-19-1 ,0776-77-2930,9:00～16:30,日曜日,,36.228617,136.195847
惣菜店,ピアファーム農産物直売所呉服町店,ひじき煮、がんもと煮玉子、いも天、なし入酢豚,,,福井の伝統的な打豆を使った煮物です。福井の味をお楽しみください。地元のがんもと当店特製のタレで作った煮玉子を一緒につめました。自慢の一品です。当店ピアファーム栽培のさつまいもで薄衣に仕上げました。材料にも製造にも愛情がこもってます。当店ピアファーム栽培の梨を入れたさっぱり味の酢豚です。この組み合わせ、お試しください。,福井市順化,0776-22-8650,9:00～16:30,日曜日,,36.066697,136.21423
惣菜店,企業組合まぁま喜ね舎（喜ね舎愛菜館）,わかめの酢の物、こ煮〆、菜のごま和え、ポテトサラダ、こまつなのだし浸し、ゴーヤの酢の物、千切り大根煮、チーズ入りかぼちゃコロッケ、野菜の天ぷら,9,1,旬の野菜を盛り込んだ逸品を。,福井市河増9字10-1,0776-52-2260,夏8:30～18:00、冬8:30～17:30,水曜日,,36.065235,136.256494
惣菜店,お惣菜の公楽商店,若狭牛コロッケ,1,1,ほっこりじゃがいもとお肉のベストマッチ。ざくざくパン粉がさらにおいしさをバックアップ！,福井県福井市大和田1丁目101(福井中央卸売市場ふくい鮮いちば内）,,9:00～14:30,毎週土曜日のみ営業,,36.090198,136.246312
惣菜店,"kichen gaeden 4,s*(キッチンガーデンヨンズ)",こまつなとしめじのナムル、炙りポークのサラダ,2,1,福井県産の小松菜を使用し、こだわりの伯方の塩とごま油でシンプルに味付け。国産豚肩ロースをじっくり焼き上げローストポークにし、手造りしょう油ベースの玉ねぎドレッシング付き。,福井市下荒井町20-6,0776-38-9141,11:00～18:30（土曜は13:30まで）,日・祝,,,
惣菜店,デリアテール,国産鶏と発芽大豆を使った筑前煮、豚肉と旬野菜の香草フリット,2,1,昆布だしの味を強調し、素材の味を引き出す。発芽大豆も入れて栄養価も高める。衣に炭酸水を加えることで、サクッとした食感になる。衣自他に味をつけるので、塩などは不要。衣が薄いのでカロリーも抑えられる。,福井市中央1-8-1西武福井店本館地階・福井県民生活協同組合ハーツ全店,0776-29-1525,西武福井店:10:00～19:00、ハーツ:ハーツ営業時間に準じる,西武福店：西武福井店に準じる、ハーツ全店：ハーツ全店に準じる,,36.061764,136.219066
惣菜店,ユアーズホテル・ダイニング,秋鮭と茸の煮浸し,1,1,旬の鮭、きのこをふんだんに使い煮浸しにしました。,福井市中央1-8-1西武福井店本館地階,0776-22-1372,10:00～19:30,,,36.061764,136.219066
惣菜店,企業組合ハンドメイド風ふう（永平寺四季食彩館れんげの里、福井県立病院売店）,肉じゃが、炊き合わせ、ポテトコロッケ、ポテトサラダ、おからコロッケ,5,1,永平寺町の地元野菜にこだわり、からだにやさしい味付けを目指しています。,坂井市丸岡町新鳴鹿3-148,0776-97-8161,9:30～19:00（県立売店は営業時間に準じる）,,,36.107165,136.298555
惣菜店,ふれあいパーク三里浜,肉コロッケ,1,1,国産和牛を使用しており、すべて手作りの為、毎日50個限定販売です。,坂井市三国町山岸67-3-1,0776-82-3339,9:00～18:00,11月～3月は月2回水曜日,,36.189567,136.13907
惣菜店,企業組合花みずき味人,じゃが芋コロッケ,2,1,タケ子は越前町宮崎地区特産のたけのこを使い、だしにこだわった味。コロッケはやさしい味に仕上げました。,丹生郡越前町樫津2-63,0778-32-3545,9:00～18:00,火曜日,,35.94103,136.086287
惣菜店,（株）クロス（（株）コープたけふみどり館）,巣ごもり、手作り肉じゃが煮,2,1,心温まるおふくろの味、町子母さんのお惣菜です。,越前市塚町17-1,0778-24-1717,9:00～20:00,,,35.916497,136.191653
惣菜店,（株）クロス（（株）コープたけふ南条店）,切干大根、煮しめ、肉じゃが,3,1,ゆっくり時間をかけて心をこめて作った煮物です。,南条郡南越前町東大道28-4-6,0778-47-3036,9:00～20:00,,,35.834256,136.194016
惣菜店,（株）森茂（県内各小売店・各スーパー・店頭）,パンプキンサラダ、しいたけコンの越前煮、田舎煮物、おにしめ、三角あげ煮、大がんも煮、煮物「光」,7,1,かぼちゃのほっとする甘味を活かしたサラダ。カロチン、ビタミンなどの栄養をバランスよく含んでいます。手作りの油揚げ・がんもと、野菜のうま味を丁寧に引き出した、地元の味の煮物です。,越前市矢船町8-8,0778-22-1082,8:00～17:00,,,35.888093,136.175605
惣菜店,（企）そまの恋姫サラダ会（南条王産物直売所、四季彩、百姓の館南店・シピィ店・村国店、みどり館、Ａコープ南条店）,厚揚げと根菜の煮物、ひじき煮、玉子きんちゃく,3,1,昆布とかつおだしがしっかりきいているので、塩分が少なくてもおいしくいただけます。,南条郡南越前町脇本25-19-1,0778-47-8365,9:00～18:00,毎月第2水曜日,,35.844268,136.18581
惣菜店,土の駅今庄（百姓の館村国店・シピィ店・南店・コープたけふみどり館・平出店・南条店、ハニー住吉店・南条店・クランデール二宮店）,煮物、天ぷら,2,1,「地場物を使うことは惣菜自体がおいしくなることに等しい。」土の駅の惣菜の一皿はそういうことを教えてくれます。,南条郡南越前町湯尾96-19,0778-45-1272,11:00～16:00,毎週木曜、第4日曜日,,35.791383,136.20262
惣菜店,（有）ほっと今庄おばちゃんの店,キャベツコロッケ,1,1,地元野菜を使用。お肉控えめ、キャベツを加えることでヘルシーな揚げ物に。一年通して提供できる惣菜です。,南条郡南越前町今庄9-13,0778-45-1144,10:00～17:00,火曜日,,35.781334,136.197995
惣菜店,竹本食品（お惣菜の店　たけもと、アピタ　敦賀店、アル・プラザ敦賀、ふるさと夢市場、JA敦賀美方ファーマーズマーケット「旬・ときめき広場」）,豆腐コロッケ、厚揚げ煮、おから煮、焼き豆腐煮,4,1,お豆腐屋さんならではのヘルシーな惣菜で、どの年代の方にも好評です。お弁当や食卓の１品にいかがですか。,敦賀市神楽町2丁目1-3,0770-22-7737,9:00～13:30,日曜・祭日,,35.653999,136.070108
惣菜店,つるが愛農（JA敦賀美方ファーマーズマーケット「旬・ときめき広場」、敦賀市公設地方卸売市場）,手作り牛肉コロッケ,1,1,大人も子供も喜ぶ甘くて懐かしい味のコロッケです。,敦賀市元町13-17-2,0770-25-0151,9:00～17:00（予約販売）,日・水・祝,,35.655182,136.071836
惣菜店,ハイグルメミートおはよう（Aコープ美浜店、Aコープ三方店）,おはようコロッケ,1,1,昭和46年からずっと愛され続けているお肉屋さんのコロッケです。,敦賀市中央町2丁目6-13,0770-25-0840,9:00～19:00,木曜日,,35.64318,136.054157
惣菜店,（株）フジショク（エフレ清水本店、エフレ相生店、エフレデイズ店、エフレ古田刈店）,おでん、ぜんまい煮、高野豆腐煮、かぼちゃ煮、五目千切り煮、肉じゃが煮、煮物（中）,7,1,一品一品手造りで素材の旨味を大事しながら塩分控えめでもおいしく召し上がれるように工夫しています。,敦賀市昭和町2丁目20番14号,0770-25-4711,エフレ清水本店9:30～22:00、エフレデイズ店9:30～22:00、エフレ相生店9:30～21:00、エフレ古田刈店9:30～22:00,エフレ　清水本店　年中無休、エフレ　デイズ店　年中無休、エフレ　相生店　元旦休業、エフレ　古田刈店　元旦休業,,35.638581,136.058629
惣菜店,Aコープ小浜店,かぼちゃの天ぷら、さつまいもの天ぷら、おでん,2,1,真心込めて作りました。ごはんのお供にどうぞ！,小浜市四谷町20-2,0770-52-5115,9時～20時,不定休,,35.49614,135.749957
惣菜店,キッチンＢｏｏ※移動販売（サニーマート南店、レピアショッピングセンター）,Booコロッケ,1,1,甘めの味付けで、お子様からお年寄りまで、おかずにもおやつにもなる美味しいコロッケです。,小浜市学園町1-1(高浜町宮崎86-5-1、若狭町鳥浜60-1）,0770-53-1160,11時～15時,不定休,,,
惣菜店,肉の辻彦,若狭牛のコロッケ,1,1,地産地消!!若狭牛100％ミンチをたっぷり使ったジューシーコロッケ!!,小浜市大手町8-3,0770-52-7519,午前9時～午後7時、日・祝午後6時まで,毎月第2、4水曜日,,35.497434,135.745807
惣菜店,リリの惣菜屋Honmakeee,手作りコロッケ,1,1,昔なつかしい味の手作りコロッケです。,小浜市南川町4-21,0770-53-2255,11時～18時,土・日・祝,,35.493479,135.753583
惣菜店,サニーマートたかだ店,自家製高野豆腐、自家製コロッケ,2,2,コロッケも高野豆腐も自家製です。皆で、まごころ込めて作っています。お召し上がりください。,高浜町三明2-21,0770-72-0002,9時～21時,,,35.491902,135.549876
惣菜店,サニーマート南店,自家製高野豆腐、自家製コロッケ,,,コロッケも高野豆腐も自家製です。皆で、まごころ込めて作っています。お召し上がりください。,高浜町宮崎86-5-1,0770-72-0003,9時～21時,,,35.487092,135.546878
