営業種別,名称,所在地,電話番号,部屋数,定員,緯度,経度
旅館・ホテル,ホテル大名,あわら市二面5ｰ2,0776-77-2174,23,164,36.23336,136.199166
旅館・ホテル,ホテルアイネ,あわら市二面2ｰ50,0776-78-7035,13,46,36.234874,136.20096
旅館・ホテル,夢屋華築紫,あわら市二面2ｰ18ｰ19,0776-77-3800,15,176,36.230713,136.196436
旅館・ホテル,湯快リゾート青雲閣,あわら市二面68ｰ1,0776-77-2530,86,866,36.232199,136.196202
旅館・ホテル,長谷川,あわら市二面48ｰ14,0776-77-2164,38,333,36.229602,136.194194
旅館・ホテル,キャンブレトマロッサ,あわら市二面3ｰ11,0776-78-5069,16,72,36.234146,136.200135
旅館・ホテル,大江戸温泉物語あわら,あわら市二面48ｰ10,0776-77-1726,95,809,36.230247,136.194603
旅館・ホテル,べにや,あわら市温泉4丁目510,0776-77-2333,27,193,36.22522,136.1928
旅館・ホテル,あわらグランドホテル,あわら市温泉4丁目2,0776-78-5500,44,316,36.224864,136.194384
旅館・ホテル,清風荘,あわら市温泉3丁目803,0776-77-2500,177,1192,36.22342,136.191073
旅館・ホテル,白和荘,あわら市温泉5丁目1201,0776-78-7000,19,97,36.228033,136.191956
旅館・ホテル,灰屋,あわら市温泉2丁目205,0776-78-5555,63,574,36.225758,136.19502
旅館・ホテル,あわらの宿八木,あわら市温泉4丁目418,0776-77-2008,74,673,36.225875,136.192511
旅館・ホテル,龍泉,あわら市温泉3丁目402,0776-77-2065,5,17,36.223422,136.192225
旅館・ホテル,つるや,あわら市温泉4丁目601,0776-77-2001,37,392,36.224878,136.192673
旅館・ホテル,ホテル天隆,あわら市温泉5丁目1525,0776-78-5333,10,48,36.228269,136.193228
旅館・ホテル,花の宿福寿,あわら市温泉4丁目801,0776-77-2280,19,147,36.225122,136.192006
旅館・ホテル,湯元の宿芦原荘,あわら市温泉1丁目309,0776-77-2110,18,133,36.224525,136.19302
旅館・ホテル,みのや泰平閣,あわら市舟津50ｰ1ｰ1,0776-78-5566,67,593,36.223586,136.18814
旅館・ホテル,芦原国際ホテル美松,あわら市舟津26ｰ10,0776-77-2600,88,550,36.227222,136.186506
旅館・ホテル,グランディア芳泉,あわら市舟津43ｰ26,0776-77-2555,116,1694,36.2221,136.188117
旅館・ホテル,まつや千千,あわら市舟津31ｰ24,0776-77-2560,116,1412,36.223689,136.187615
旅館・ホテル,㈱ホテルゆらく,あわら市舟津2ｰ15,0776-77-7700,31,267,36.226725,136.18985
旅館・ホテル,愛犬と過ごす本格旅館月香,あわら市舟津第9号8番地,0776-97-8521,25,352,36.23073,136.193919
旅館・ホテル,福井県市町村職員共済組合芦原保養所越路,あわら市東温泉2丁目201,0776-77-3151,30,265,36.220148,136.200819
旅館・ホテル,株式会社ホテルぐらばあ亭,あわら市田中々8ｰ1,0776-77-7333,46,341,36.218556,136.19267
旅館・ホテル,福井銀行健康保健組合芦原保養所若竹荘,あわら市堀江十楽1ｰ55,0776-77-2375,14,125,36.222967,136.190962
旅館・ホテル,千代松,あわら市西温泉1丁目105ｰ1,0776-77-3214,8,28,36.220867,136.185504
旅館・ホテル,政竜閣,あわら市西温泉1丁目102,0776-77-3100,40,356,36.220775,136.186037
旅館・ホテル,湖畔荘ｈａｎａゆらり,あわら市北潟211,0776-79-1124,18,140,36.26163,136.231814
旅館・ホテル,平和館,あわら市春宮1丁目11ｰ51,0776-73-0173,14,40,36.214755,136.233927
旅館・ホテル,北風旅館,あわら市春宮2丁目7ｰ41,0776-73-0453,11,30,36.215691,136.231869
旅館・ホテル,光成,あわら市春宮3丁目8ｰ11,0776-73-0815,6,19,36.216879,136.228778
旅館・ホテル,まつや別館,あわら市春宮3丁目4ｰ11,0776-73-0082,5,15,36.216802,136.226245
旅館・ホテル,フォレストビラ,"あわら市熊坂26字松の腰4ｰ1,5ｰ1,6ｰ1",0776-74-2377,9,48,36.235704,136.286457
旅館・ホテル,モテルエイト,あわら市笹岡30ｰ46,0776-74-1236,16,49,36.210129,136.27209
旅館・ホテル,ホテルちょっとＰ２,あわら市瓜生20ｰ10ｰ1,0776-74-1316,14,44,36.187065,136.273366
旅館・ホテル,ホテル京都,あわら市瓜生23ｰ13,0776-74-1115,10,32,36.188431,136.274424
旅館・ホテル,ホテルきらら,あわら市瓜生11ｰ1ｰ1,0776-74-1323,10,30,36.180704,136.273349
旅館・ホテル,ホテルルートイン武生インター,越前市葛岡町6字15‐5,0778-23-5722,161,389,35.902755,136.192602
旅館・ホテル,西本,越前市府中1丁目1丁目14ｰ21,,5,13,35.903335,136.170632
旅館・ホテル,池田屋旅館,越前市府中2丁目3ｰ4,0778-22-0777,12,26,35.904704,136.169046
旅館・ホテル,ホテルクラウンヒルズ武生,越前市府中1丁目2ｰ3,0778-23-8100,124,186,35.902746,136.170482
旅館・ホテル,花びし旅館,越前市幸町8ｰ11,,5,10,35.903979,136.167688
旅館・ホテル,プリンスホテルタケフ,越前市横市町39ｰ8ｰ3,0778-23-1001,41,54,35.904718,136.191557
旅館・ホテル,八ツ杉森林学習センター,越前市別印町19ｰ1ｰ1,0778-42-3800,11,20,35.88821,136.308313
旅館・ホテル,寿屋,越前市粟田部町29ｰ41,0778-42-0022,9,23,35.917231,136.24071
旅館・ホテル,旅館熱海荘,越前市粟田部町31ｰ56,0778-42-0249,8,20,35.914657,136.241632
旅館・ホテル,なにわや旅館,越前市家久町99ｰ14ｰ9,0778-22-7128,6,10,35.919307,136.167116
旅館・ホテル,阿免屋,越前市京町1丁目1丁目3ｰ1,,7,36,35.902523,136.165164
旅館・ホテル,旅館あかし,越前市京町3丁目1ｰ3,0778-22-0232,17,62,35.903784,136.1639
旅館・ホテル,赤星亭,越前市小松2丁目3ｰ22,0778-22-3230,27,64,35.905856,136.1573
旅館・ホテル,ホテルマドンナ,越前市四郎丸町32ｰ6ｰ1,0778-23-3210,14,28,35.873946,136.161757
旅館・ホテル,ホテルピュア,越前市四郎丸町3字4ｰ4,0778-23-1357,16,32,35.874527,136.160232
旅館・ホテル,しきぶ温泉湯楽里,越前市白崎町68ｰ8,0778-25-7800,12,88,35.863405,136.14457
旅館・ホテル,ホテルかすが,越前市春日野町134ｰ1,0778-22-6370,5,14,35.857689,136.145892
旅館・ホテル,ホテルかすが,越前市春日野町134ｰ1,0778-22-6371,7,26,35.857689,136.145892
旅館・ホテル,ホテルシンフォニー,越前市春日野町73ｰ2,,14,28,35.853859,136.144242
旅館・ホテル,ふくい農業ビジネスセンター,越前市安養寺町142ｰ27ｰ1,0778-29-2131,44,126,35.920133,136.075641
旅館・ホテル,松岡サウナ,吉田郡永平寺町松岡薬師3丁目89,0776-61-0727,5,19,36.094547,136.304725
旅館・ホテル,永平寺町浄法寺山青少年旅行村バンガロー施設,吉田郡永平寺町上浄法寺68ｰ1ｰ2,0776-63-2867,5,35,36.122531,136.369349
旅館・ホテル,つむろや旅館,吉田郡永平寺町東古市13ｰ26,0776-63-2074,11,36,36.098325,136.325963
旅館・ホテル,東喜家,吉田郡永平寺町志比24ｰ6,0776-63-3043,8,35,36.055609,136.352534
旅館・ホテル,大本山永平寺,吉田郡永平寺町志比5号15番地,0776-63-3108,19,314,36.055778,136.354536
旅館・ホテル,永平寺親禅の宿柏樹関,吉田郡永平寺町志比6ｰ1,0776-63-1188,18,108,36.054953,136.352551
旅館・ホテル,昭扇閣べにや,今立郡池田町稲荷34ｰ19ｰ1,0778-44-6005,6,24,35.889194,136.342926
旅館・ホテル,池田溪流温泉冠荘,今立郡池田町志津原14ｰ17,0778-44-7755,19,85,35.863981,136.36337
旅館・ホテル,ファームインファームハウスコムニタ,今立郡池田町土合皿尾2字22ｰ1,0778-44-7744,6,11,35.867325,136.360356
旅館・ホテル,福澤,坂井市丸岡町山口60ｰ22,0776-67-2121,5,21,36.161428,136.332075
旅館・ホテル,丸岡温泉たけくらべ,坂井市丸岡町山竹田88ｰ8,0776-67-2333,20,149,36.172243,136.331705
旅館・ホテル,ホテル２４ウィンザー,坂井市丸岡町一本田福所18ｰ1,0776-66-0505,10,35,36.163348,136.262693
旅館・ホテル,ホテルピンクのおさる,坂井市丸岡町上久米田4ｰ6,0776-66-5223,10,36,36.108557,136.321989
旅館・ホテル,ＨＯＴＥＬｃｏｏｊｕ,坂井市丸岡町羽崎22ｰ25,0776-67-2400,53,269,36.112704,136.257346
旅館・ホテル,ホテルＡＺ,坂井市丸岡町磯部新保6ｰ4ｰ1,0776-66-4660,17,109,36.117776,136.257559
旅館・ホテル,ホテル風の丘,坂井市三国町平山30ｰ10ｰ1,0776-81-2406,14,87,36.237921,136.16794
旅館・ホテル,民宿ふるき別館,坂井市三国町新保40ｰ26ｰ1,0776-82-5800,13,50,36.204235,136.143916
旅館・ホテル,センチュリオンホテルリゾート＆スパテクノポート福井,坂井市三国町黒目22ｰ51ｰ2,0776-81-7000,56,407,36.18887,136.133404
旅館・ホテル,宮太旅館,坂井市三国町南本町3丁目6ｰ55,0776-82-0038,5,34,36.211945,136.151032
旅館・ホテル,ふくや,坂井市三国町緑ｹ丘4丁目1ｰ46,0776-81-3988,11,55,36.220783,136.153201
旅館・ホテル,三国観光ホテル,坂井市三国町緑ｹ丘4丁目4ｰ8,0776-81-3280,104,712,36.221689,136.151248
旅館・ホテル,ビジネスホテルつるや,坂井市三国町緑ｹ丘2丁目5ｰ27,0776-81-9090,24,55,36.22113,136.154439
旅館・ホテル,吉岡旅館,坂井市三国町宿3ｰ10ｰ2,0776-81-3240,5,17,36.221919,136.136397
旅館・ホテル,ニュ－越前,坂井市三国町宿2ｰ3ｰ20,0776-82-3318,9,29,36.222858,136.140177
旅館・ホテル,ばんこ旅館,坂井市三国町宿3丁目7ｰ25,0776-81-2956,10,50,36.223352,136.135977
旅館・ホテル,かに久,坂井市三国町宿3ｰ12ｰ22,0776-82-1040,15,57,36.221763,136.136544
旅館・ホテル,ゑびす亭,坂井市三国町宿3丁目29ｰ32(12-13),0776-82-5124,10,36,36.220983,136.142135
旅館・ホテル,憩いの宿なかもと,坂井市三国町宿3ｰ7ｰ27,0776-82-2600,12,72,36.223166,136.136033
旅館・ホテル,民宿なかじま,坂井市三国町宿3ｰ5ｰ21,0776-81-2852,5,22,36.22311,136.136424
旅館・ホテル,三国屋,坂井市三国町宿3ｰ6ｰ15,0776-82-2750,14,67,36.223691,136.136147
旅館・ホテル,料理旅館望洋楼,坂井市三国町米ｹ脇4ｰ3ｰ38,0776-82-0067,10,67,36.225618,136.132325
旅館・ホテル,東尋坊研修センター,坂井市三国町米ｹ脇3丁目413,0776-81-6667,7,84,36.226232,136.133977
旅館・ホテル,汐風の館民宿七福,坂井市三国町米ｹ脇2ｰ3ｰ56,0776-82-1189,21,82,36.230507,136.133974
旅館・ホテル,ゲストハウス海翔百寿互,坂井市三国町米ｹ脇4丁目8ｰ34,0776-82-0111,5,28,36.225413,136.133805
旅館・ホテル,民宿ちひろ,坂井市三国町米ｹ脇4ｰ4ｰ48,0776-82-6766,5,23,36.225704,136.132591
旅館・ホテル,ホクコンサンセットヴィラ,坂井市三国町米ｹ脇4ｰ8ｰ50,0776-82-1073,5,60,36.225507,136.133866
旅館・ホテル,民宿前田,坂井市三国町梶32ｰ76ｰ2,0776-81-3642,8,34,36.251596,136.152527
旅館・ホテル,民宿冨士,坂井市三国町梶38字37号5番地,0776-81-4191,7,23,36.253285,136.148158
旅館・ホテル,はれや旅館,坂井市三国町梶26-45-1,0776-60-1808,15,118,36.249227,136.157805
旅館・ホテル,ペンションながや,坂井市三国町安島15ｰ78,0776-82-3006,13,61,36.243047,136.133046
旅館・ホテル,内湯の宿おおとく,坂井市三国町安島24ｰ51ｰ2,0776-82-6668,11,73,36.248527,136.124508
旅館・ホテル,ペンションシャロット,坂井市三国町崎34字尾畑7ｰ8ｰ9,0776-82-5481,7,14,36.249408,136.147525
旅館・ホテル,料理民宿いそや,坂井市三国町崎33ｰ2ｰ2,0776-81-2030,8,41,36.251988,136.147169
旅館・ホテル,休暇村越前三国,坂井市三国町崎15字45,0776-82-7400,52,470,36.249005,136.141506
旅館・ホテル,杉田旅館,坂井市春江町為国幸1ｰ5,0776-51-0518,6,24,36.128584,136.227521
旅館・ホテル,ビジネスホテルニュ－オサムラ,鯖江市東鯖江町4丁目3ｰ8,0778-53-1010,36,36,35.947216,136.197234
旅館・ホテル,ホテルスイートメモリー,鯖江市糺町11ｰ1,0778-51-1810,11,22,35.971203,136.168877
旅館・ホテル,マスヤ旅館,鯖江市鳥羽町128ｰ5ｰ1,0778-52-3408,6,13,35.974062,136.200458
旅館・ホテル,さばえ神明旅館,鯖江市神明町1丁目3ｰ2,0778-51-1172,7,14,35.970081,136.18142
旅館・ホテル,神明苑,鯖江市神明町2丁目8番4号,0778-52-5165,17,128,35.972553,136.182584
旅館・ホテル,ホテルアルファーワン鯖江,鯖江市旭町1丁目1ｰ1,0778-53-0707,171,180,35.943724,136.188143
旅館・ホテル,サバエシティ－ホテル,鯖江市桜町3丁目3ｰ3,0778-53-1122,66,76,35.947309,136.181271
旅館・ホテル,ホテルＭＩＯコットン,鯖江市横越町30字金町7,0778-53-0490,48,96,35.950137,136.2008
旅館・ホテル,ホテルインターナショナル,鯖江市横越町31字月田24ｰ1,0778-52-5230,23,46,35.949823,136.202458
旅館・ホテル,ホテルコンチネンタル,鯖江市横越町30ｰ1ｰ1,0778-54-9191,30,224,35.949068,136.200494
旅館・ホテル,ホテルルートイン鯖江,鯖江市下河端町14ｰ1ｰ1,0778-51-5002,159,360,35.966274,136.188817
旅館・ホテル,鯖江第一ホテル,鯖江市新横江1丁目116,0778-54-0111,107,110,35.942338,136.193873
旅館・ホテル,Ｋ＆Ｎサンドーム福井ホテル,鯖江市宮前2丁目1801,0778-51-3344,51,270,35.932337,136.186838
旅館・ホテル,ビジネスホテルおさむら,鯖江市日の出町2ｰ1,0778-52-0636,20,24,35.942802,136.188176
旅館・ホテル,ＨＯＴＥＬＢｅｌＡｇｅ（ホテルベルアージュ）,鯖江市有定町1丁目6ｰ8,0778-51-4870,7,23,35.94416,136.177444
旅館・ホテル,ファンシーホテルザザビ,鯖江市有定町1丁目6ｰ8,0778-51-4870,8,24,35.94416,136.177444
旅館・ホテル,福井県立鯖江青年の家,鯖江市上野田町19ｰ1,0778-62-1214,16,88,35.937821,136.147895
旅館・ホテル,鯖江市農林業体験実習館（ラポーゼかわだ）,鯖江市上河内町19‐37‐2,0778-65-0012,16,183,35.948063,136.300009
旅館・ホテル,和太屋,三方郡美浜町和田7ｰ12,0770-32-1565,5,13,35.617821,135.941821
旅館・ホテル,ビジネスホテル西郷,三方郡美浜町松原36ｰ5ｰ1,0770-32-6000,32,64,35.604234,135.933821
旅館・ホテル,なかよし家,三方郡美浜町松原13ｰ59,0770-32-1466,8,25,35.608661,135.92766
旅館・ホテル,はまもと旅館,三方郡美浜町松原11ｰ65,0770-32-1763,7,19,35.609703,135.927502
旅館・ホテル,レインボーマリン幸朋庵,三方郡美浜町久々子古屋敷1ｰ15,0770-32-1412,11,66,35.605851,135.915942
旅館・ホテル,一休,三方郡美浜町久々子18ｰ8ｰ15,0770-32-0152,5,37,35.608853,135.914514
旅館・ホテル,海のホテルひろせ,三方郡美浜町久々子2ｰ5ｰ2,0770-32-0001,37,313,35.610125,135.911648
旅館・ホテル,魚政,三方郡美浜町久々子3ｰ11,0770-32-0727,7,22,35.608831,135.913773
旅館・ホテル,中村屋,三方郡美浜町久々子58ｰ15ｰ11,0770-32-0143,6,26,35.607839,135.92153
旅館・ホテル,美船荘,三方郡美浜町久々子20ｰ14,0770-32-0142,11,33,35.607134,135.91537
旅館・ホテル,浪路旅館,三方郡美浜町久々子47ｰ38,0770-32-0250,29,139,35.608726,135.917533
旅館・ホテル,かやの旅館,三方郡美浜町早瀬13ｰ6,0770-32-2014,6,16,35.619071,135.906479
旅館・ホテル,きたむら旅館,三方郡美浜町早瀬11ｰ50,0770-32-0414,6,15,35.615691,135.906262
旅館・ホテル,ザグランリゾート三方五湖,三方郡美浜町早瀬3号字横道,0770-32-1516,22,117,35.611994,135.908484
旅館・ホテル,たかはま旅館,三方郡美浜町早瀬12ｰ49,,7,20,35.616993,135.906976
旅館・ホテル,たなべ旅館,三方郡美浜町早瀬13ｰ89ｰ1,0770-32-1074,9,38,35.617891,135.906734
旅館・ホテル,ふじま屋,三方郡美浜町早瀬12ｰ81,0770-32-0421,6,18,35.617299,135.907092
旅館・ホテル,まきさん,三方郡美浜町早瀬7大久路5ｰ1,0770-32-1072,6,22,35.613369,135.908142
旅館・ホテル,吉田旅館,三方郡美浜町早瀬12ｰ51ｰ1,0770-32-0332,6,34,35.61671,135.906931
旅館・ホテル,任天堂㈱美浜寮,三方郡美浜町早瀬6号松原5ｰ1,0770-35-5586,9,28,35.61313,135.908942
旅館・ホテル,㈲美浜釣舟センター,三方郡美浜町早瀬3ｰ26ｰ2,0770-32-1308,6,25,35.611775,135.907887
旅館・ホテル,みやぎ,三方郡美浜町日向47ｰ40,,6,,35.612272,135.89123
旅館・ホテル,みやぎ旅館,三方郡美浜町日向3ｰ8,0770-32-0336,9,29,35.613183,135.896343
旅館・ホテル,やまじん,三方郡美浜町日向13ｰ7ｰ2,0770-32-1052,7,23,35.604415,135.895649
旅館・ホテル,旭屋,三方郡美浜町日向10ｰ13,,8,30,35.60985,135.892691
旅館・ホテル,漁師の宿五郎左衛門,三方郡美浜町日向10ｰ16,0770-32-0471,8,33,35.60975,135.892933
旅館・ホテル,漁場の宿はっとり,三方郡美浜町日向10ｰ31,0770-32-0617,11,46,35.609403,135.893694
旅館・ホテル,嵯峨,三方郡美浜町日向61ｰ1ｰ155,0770-45-1133,4,21,35.600768,135.894094
旅館・ホテル,清兵衛,三方郡美浜町日向47ｰ42,0770-32-5492,5,15,35.612116,135.891091
旅館・ホテル,太郎門,三方郡美浜町日向10ｰ54,0770-32-1048,6,19,35.609572,135.893727
旅館・ホテル,美芳屋,三方郡美浜町日向67ｰ1ｰ95,0770-32-0435,5,22,35.611561,135.894502
旅館・ホテル,旅館またべゑ,三方郡美浜町日向47ｰ51,0770-32-0461,7,22,35.611905,135.891069
旅館・ホテル,旅館金森,三方郡美浜町日向10ｰ65,0770-32-0549,10,39,35.607906,135.895069
旅館・ホテル,旅館入舟,三方郡美浜町日向47ｰ46,0770-32-1040,5,17,35.612164,135.891355
旅館・ホテル,かつみ屋,三方郡美浜町丹生49ｰ2,0770-39-1045,19,60,35.712456,135.970273
旅館・ホテル,しんや,三方郡美浜町丹生37ｰ5,0770-39-1163,5,13,35.7122,135.971562
旅館・ホテル,はたや旅館,三方郡美浜町丹生37ｰ3,0770-39-1358,13,37,35.71242,135.971776
旅館・ホテル,はまよし,三方郡美浜町丹生37ｰ50ｰ3,0770-39-1123,5,16,35.711256,135.971831
旅館・ホテル,みつきや旅館,三方郡美浜町丹生37ｰ48,0770-39-1389,8,23,35.711201,135.972014
旅館・ホテル,みなとや,三方郡美浜町丹生28ｰ9ｰ1,0770-39-1156,12,29,35.710545,135.972376
旅館・ホテル,やませ,三方郡美浜町丹生27ｰ28ｰ2,0770-39-1623,12,41,35.709346,135.97272
旅館・ホテル,やまや,三方郡美浜町丹生49ｰ1,,9,25,35.712381,135.970417
旅館・ホテル,よしの,三方郡美浜町丹生48ｰ39,0770-39-1666,5,10,35.712625,135.971281
旅館・ホテル,宇野旅館,三方郡美浜町丹生50ｰ37,0770-39-1620,10,31,35.710967,135.965637
旅館・ホテル,新谷旅館,三方郡美浜町丹生47ｰ10,0770-39-1137,19,28,35.711453,135.971984
旅館・ホテル,谷口旅館,三方郡美浜町丹生48ｰ27,0770-39-1056,10,33,35.712631,135.972192
旅館・ホテル,中橋屋旅館,三方郡美浜町丹生36ｰ28,0770-39-1359,17,39,35.711015,135.972742
旅館・ホテル,中村屋,三方郡美浜町丹生48ｰ46,0770-39-1252,17,67,35.712731,135.970745
旅館・ホテル,仲塚旅館,三方郡美浜町丹生50東奥浦16ｰ1,0770-39-1412,4,26,35.711598,135.966515
旅館・ホテル,道保旅館,三方郡美浜町丹生48ｰ41,0770-39-1641,16,49,35.712462,135.971064
旅館・ホテル,尾崎旅館,三方郡美浜町丹生48ｰ17,,7,21,35.712875,135.971726
旅館・ホテル,旅館おざき,三方郡美浜町丹生48ｰ17,0770-39-1126,5,14,35.712875,135.971726
旅館・ホテル,海浜館,三方郡美浜町竹波19ｰ17,0770-39-1138,6,26,35.695311,135.97689
旅館・ホテル,庄屋旅館,三方郡美浜町竹波19ｰ40,0770-39-1308,21,68,35.695311,135.97689
旅館・ホテル,昭和館,三方郡美浜町竹波13ｰ9,0770-39-1159,17,43,35.695658,135.977715
